"survey","object","distance","obs","mas","has","observed"
"July 92",1,40,"TJS",50,1,1
"July 92",2,60,"TJS",50,1,1
"July 92",3,45,"TJS",50,1,1
"July 92",4,100,"TJS",50,1,1
"July 92",5,125,"TJS",50,1,1
"July 92",6,120,"TJS",50,1,1
"July 92",7,140,"TJS",50,1,1
"July 92",8,80,"TJS",50,1,1
"July 92",9,65,"TJS",64,1,1
"July 92",10,90,"TJS",64,1,1
"July 92",11,120,"TJS",64,1,1
"July 92",12,85,"TJS",64,1,1
"July 92",13,150,"TJS",64,1,1
"July 92",14,180,"TJS",77,1,1
"July 92",15,220,"TJS",77,1,1
"July 92",16,105,"TJS",77,1,1
"July 92",17,90,"TJS",77,1,1
"July 92",18,90,"TJS",77,1,1
"July 92",19,65,"TJS",92,2,1
"July 92",20,35,"TJS",92,2,1
"July 92",21,60,"TJS",92,2,1
"July 92",22,60,"TJS",113,2,1
"July 92",23,115,"TJS",113,2,1
"July 92",24,85,"TJS",113,2,1
"July 92",25,30,"TJS",113,2,1
"July 92",26,80,"TJS",113,2,1
"July 92",27,85,"TJS",127,2,1
"July 92",28,60,"TJS",127,2,1
"July 92",29,30,"TJS",127,2,1
"July 92",30,80,"TJS",127,2,1
"July 92",31,80,"TJS",127,2,1
"July 92",32,65,"TJS",127,2,1
"July 92",33,250,"TJS",127,2,1
"July 92",34,110,"TJS",140,2,1
"July 92",35,80,"TJS",140,2,1
"July 92",36,90,"TJS",140,2,1
"July 92",37,45,"TJS",140,2,1
"July 92",38,85,"TJS",140,2,1
"July 92",39,85,"TJS",140,2,1
"July 92",40,85,"TJS",152,3,1
"July 92",41,95,"TJS",152,3,1
"July 92",42,75,"TJS",152,3,1
"July 92",43,75,"TJS",152,3,1
"July 92",44,60,"TJS",152,3,1
"July 92",45,53,"TJS",152,3,1
"July 92",46,180,"TJS",152,3,1
"July 92",47,110,"TJS",164,3,1
"July 92",48,65,"TJS",164,3,1
"July 92",49,95,"TJS",164,3,1
"July 92",50,75,"TJS",164,3,1
"July 92",51,80,"TJS",164,3,1
"July 92",52,45,"TJS",164,3,1
"July 92",53,55,"TJS",177,3,1
"July 92",54,45,"TJS",177,3,1
"July 92",55,125,"TJS",177,3,1
"July 92",56,35,"TJS",177,3,1
"July 92",57,80,"TJS",189,3,1
"July 92",58,105,"TJS",189,3,1
"July 92",59,75,"TJS",189,3,1
"July 92",60,90,"TJS",189,3,1
"July 92",61,65,"TJS",202,3,1
"July 92",62,55,"TJS",202,3,1
"July 92",63,40,"TJS",202,3,1
"July 92",64,60,"TJS",202,3,1
"July 92",65,80,"TJS",202,3,1
"July 92",66,18,"SGF",42,1,1
"July 92",67,40,"SGF",42,1,1
"July 92",68,70,"SGF",42,1,1
"July 92",69,15,"SGF",42,1,1
"July 92",70,10,"SGF",42,1,1
"July 92",71,32,"SGF",58,1,1
"July 92",72,33,"SGF",58,1,1
"July 92",73,25,"SGF",70,1,1
"July 92",74,50,"SGF",70,1,1
"July 92",75,40,"SGF",70,1,1
"July 92",76,70,"SGF",70,1,1
"July 92",151,14,"SGF",83,1,1
"July 92",152,15,"SGF",83,1,1
"July 92",153,40,"SGF",83,1,1
"July 92",154,30,"SGF",107,2,1
"July 92",155,10,"SGF",107,2,1
"July 92",156,40,"SGF",107,2,1
"July 92",157,30,"SGF",119,2,1
"July 92",158,35,"SGF",119,2,1
"July 92",159,40,"SGF",119,2,1
"July 92",160,80,"SGF",119,2,1
"July 92",161,4,"SGF",119,2,1
"July 92",77,50,"SGF",132,2,1
"July 92",78,15,"SGF",132,2,1
"July 92",79,25,"SGF",132,2,1
"July 92",80,35,"SGF",132,2,1
"July 92",81,55,"SGF",132,2,1
"July 92",82,15,"SGF",145,2,1
"July 92",83,25,"SGF",145,2,1
"July 92",84,40,"SGF",145,2,1
"July 92",85,35,"SGF",156,3,1
"July 92",86,40,"SGF",156,3,1
"July 92",87,12,"SGF",156,3,1
"July 92",162,22,"SGF",174,3,1
"July 92",163,25,"SGF",174,3,1
"July 92",164,20,"SGF",174,3,1
"July 92",165,70,"SGF",188,3,1
"July 92",166,60,"SGF",188,3,1
"July 92",167,60,"SGF",188,3,1
"July 92",168,50,"SGF",188,3,1
"July 92",88,30,"SGF",199,3,1
"July 92",89,35,"SGF",199,3,1
"July 92",169,30,"SGF",199,3,1
"July 92",170,25,"SGF",199,3,1
"July 92",171,9,"SGF",199,3,1
"July 92",90,50,"TKP",66,1,1
"July 92",91,100,"TKP",66,1,1
"July 92",92,70,"TKP",66,1,1
"July 92",93,40,"TKP",66,1,1
"July 92",94,17,"TKP",66,1,1
"July 92",95,40,"TKP",78,1,1
"July 92",96,50,"TKP",78,1,1
"July 92",97,20,"TKP",78,1,1
"July 92",98,100,"TKP",78,1,1
"July 92",99,150,"TKP",78,1,1
"July 92",100,40,"TKP",91,2,1
"July 92",101,50,"TKP",91,2,1
"July 92",102,70,"TKP",91,2,1
"July 92",103,15,"TKP",91,2,1
"July 92",172,17,"TKP",91,2,1
"July 92",173,8,"TKP",105,2,1
"July 92",174,10,"TKP",105,2,1
"July 92",175,70,"TKP",105,2,1
"July 92",176,20,"TKP",116,2,1
"July 92",177,11,"TKP",116,2,1
"July 92",178,50,"TKP",116,2,1
"July 92",104,50,"TKP",126,2,1
"July 92",105,60,"TKP",126,2,1
"July 92",106,20,"TKP",126,2,1
"July 92",107,40,"TKP",140,2,1
"July 92",108,50,"TKP",140,2,1
"July 92",109,20,"TKP",140,2,1
"July 92",110,70,"TKP",140,2,1
"July 92",111,25,"TKP",150,2,1
"July 92",112,30,"TKP",150,2,1
"July 92",113,50,"TKP",150,2,1
"July 92",179,25,"TKP",150,2,1
"July 92",180,70,"TKP",150,2,1
"July 92",181,130,"TKP",160,3,1
"July 92",182,40,"TKP",160,3,1
"July 92",183,60,"TKP",160,3,1
"July 92",184,40,"TKP",160,3,1
"July 92",114,10,"TKP",171,3,1
"July 92",115,27,"TKP",171,3,1
"July 92",116,27,"TKP",171,3,1
"July 92",117,3,"TKP",171,3,1
"July 92",185,25,"TKP",171,3,1
"July 92",186,20,"TKP",171,3,1
"July 92",118,12,"TKP",190,3,1
"July 92",119,13,"TKP",190,3,1
"July 92",120,25,"TKP",190,3,1
"July 92",121,60,"TKP",190,3,1
"July 92",122,90,"TKP",266,4,1
"July 92",123,10,"TKP",266,4,1
"July 92",124,25,"TKP",266,4,1
"July 92",125,90,"TKP",253,4,1
"July 92",187,60,"TKP",253,4,1
"July 92",188,70,"TKP",253,4,1
"July 92",189,35,"TKP",253,4,1
"July 92",190,25,"TKP",253,4,1
"July 92",191,15,"TKP",253,4,1
"July 92",192,40,"TKP",242,4,1
"July 92",193,50,"TKP",242,4,1
"July 92",194,5,"TKP",242,4,1
"July 92",195,30,"TKP",228,4,1
"July 92",196,40,"TKP",228,4,1
"July 92",197,30,"TKP",228,4,1
"July 92",198,35,"TKP",228,4,1
"July 92",126,25,"TKP",216,4,1
"July 92",127,100,"TKP",216,4,1
"July 92",128,25,"TKP",216,4,1
"July 92",129,15,"TKP",216,4,1
"July 92",130,100,"TKP",216,4,1
"July 92",131,30,"TKP",205,3,1
"July 92",132,35,"TKP",205,3,1
"July 92",133,40,"TKP",205,3,1
"July 92",134,70,"TKP",205,3,1
"July 92",135,30,"TKP",205,3,1
"Dec 92",199,35,"SGF",136,2,1
"Dec 92",200,50,"SGF",147,2,1
"Dec 92",136,30,"SGF",169,3,1
"Dec 92",201,30,"SGF",169,3,1
"Dec 92",202,15,"SGF",169,3,1
"Dec 92",137,75,"SGF",181,3,1
"Dec 92",138,70,"SGF",192,3,1
"Dec 92",139,75,"SGF",192,3,1
"Dec 92",203,70,"SGF",202,3,1
"Dec 92",204,80,"SGF",202,3,1
"Dec 92",205,80,"SGF",202,3,1
"Dec 92",206,65,"SGF",202,3,1
"Dec 92",207,50,"SGF",202,3,1
"Dec 92",208,35,"SGF",202,3,1
"Dec 92",209,28,"SGF",214,4,1
"Dec 92",210,27,"SGF",214,4,1
"Dec 92",211,100,"SGF",214,4,1
"Dec 92",140,22,"SGF",223,4,1
"Dec 92",141,28,"SGF",223,4,1
"Dec 92",142,80,"SGF",223,4,1
"Dec 92",143,85,"SGF",223,4,1
"Dec 92",144,90,"SGF",223,4,1
"Dec 92",145,30,"SGF",234,4,1
"Dec 92",146,30,"SGF",234,4,1
"Dec 92",147,4,"SGF",234,4,1
"Dec 92",148,12,"SGF",234,4,1
"Dec 92",149,9,"SGF",234,4,1
"Dec 92",150,30,"SGF",234,4,1
"Dec 92",212,28,"SGF",122,2,1
"Dec 92",213,30,"SGF",122,2,1
"Dec 92",214,50,"SGF",122,2,1
"Dec 92",215,90,"SGF",111,2,1
"Dec 92",216,85,"SGF",111,2,1
"Dec 92",217,50,"SGF",111,2,1
"Dec 92",218,35,"SGF",111,2,1
"Dec 92",219,32,"SGF",111,2,1
"Dec 92",220,30,"SGF",111,2,1
"Dec 92",221,110,"SGF",98,2,1
"Dec 92",222,75,"SGF",98,2,1
"Dec 92",223,95,"SGF",98,2,1
"Dec 92",224,85,"SGF",98,2,1
"Dec 92",225,50,"SGF",87,1,1
"Dec 92",226,45,"SGF",87,1,1
"Dec 92",284,77,"SGF",71,1,1
"Dec 92",285,75,"SGF",71,1,1
"Dec 92",286,65,"SGF",71,1,1
"Dec 92",287,18,"SGF",58,1,1
"Dec 92",288,75,"SGF",58,1,1
"Dec 92",289,65,"SGF",58,1,1
"Dec 92",227,55,"SGF",44,1,1
"Dec 92",228,45,"SGF",44,1,1
"Dec 92",229,35,"SGF",44,1,1
"Dec 92",230,55,"SGF",33,1,1
"Dec 92",231,90,"SGF",33,1,1
"Dec 92",290,65,"SGF",23,0,1
"Dec 92",291,22,"SGF",23,0,1
"Dec 92",292,70,"SGF",13,0,1
"Dec 92",293,110,"SGF",13,0,1
"Dec 92",294,85,"SGF",13,0,1
"Dec 92",232,80,"SGF",2,0,1
"Dec 92",295,85,"SGF",2,0,1
"Dec 92",296,90,"SGF",2,0,1
"Dec 92",297,35,"SGF",2,0,1
"Dec 92",233,60,"SGF",-11,0,1
"Dec 92",234,65,"SGF",-11,0,1
"Dec 92",235,55,"SGF",-11,0,1
"Dec 92",236,15,"SGF",-11,0,1
"Dec 92",237,12,"TJS",81,1,1
"Dec 92",238,12,"TJS",81,1,1
"Dec 92",239,38,"TJS",81,1,1
"Dec 92",240,80,"TJS",81,1,1
"Dec 92",241,42,"TJS",81,1,1
"Dec 92",242,28,"TJS",81,1,1
"Dec 92",243,42,"TJS",93,2,1
"Dec 92",244,12,"TJS",93,2,1
"Dec 92",298,9,"TJS",93,2,1
"Dec 92",299,36,"TJS",93,2,1
"Dec 92",300,48,"TJS",93,2,1
"Dec 92",301,90,"TJS",93,2,1
"Dec 92",302,70,"TJS",93,2,1
"Dec 92",303,43,"TJS",107,2,1
"Dec 92",304,88,"TJS",107,2,1
"Dec 92",305,32,"TJS",107,2,1
"Dec 92",306,48,"TJS",107,2,1
"Dec 92",307,64,"TJS",107,2,1
"Dec 92",308,19,"TJS",107,2,1
"Dec 92",309,21,"TJS",107,2,1
"Dec 92",245,32,"TJS",118,2,1
"Dec 92",246,26,"TJS",118,2,1
"Dec 92",247,75,"TJS",118,2,1
"Dec 92",248,65,"TJS",118,2,1
"Dec 92",249,18,"TJS",118,2,1
"Dec 92",250,12,"TJS",118,2,1
"Dec 92",251,29,"TJS",129,2,1
"Dec 92",252,37,"TJS",129,2,1
"Dec 92",253,22,"TJS",129,2,1
"Dec 92",310,56,"TJS",141,2,1
"Dec 92",311,43,"TJS",141,2,1
"Dec 92",312,65,"TJS",141,2,1
"Dec 92",313,32,"TJS",141,2,1
"Dec 92",314,16,"TJS",141,2,1
"Dec 92",315,56,"TJS",156,3,1
"Dec 92",316,42,"TJS",156,3,1
"Dec 92",317,21,"TJS",156,3,1
"Dec 92",318,23,"TJS",156,3,1
"Dec 92",319,32,"TJS",156,3,1
"Dec 92",254,38,"TJS",167,3,1
"Dec 92",255,72,"TJS",167,3,1
"Dec 92",256,64,"TJS",167,3,1
"Dec 92",257,52,"TJS",167,3,1
"Dec 92",258,28,"TJS",167,3,1
"Dec 92",259,7,"TJS",167,3,1
"Dec 92",260,5,"TJS",167,3,1
"Dec 92",320,85,"TJS",178,3,1
"Dec 92",321,48,"TJS",178,3,1
"Dec 92",322,36,"TJS",178,3,1
"Dec 92",323,62,"TJS",178,3,1
"Dec 92",324,42,"TJS",178,3,1
"Dec 92",325,21,"TJS",188,3,1
"Dec 92",326,19,"TJS",188,3,1
"Dec 92",327,85,"TJS",188,3,1
"Dec 92",328,8,"TJS",188,3,1
"Dec 92",329,22,"TJS",188,3,1
"Dec 92",330,43,"TJS",188,3,1
"Dec 92",261,26,"TJS",199,3,1
"Dec 92",262,38,"TJS",199,3,1
"Dec 92",263,46,"TJS",199,3,1
"Dec 92",264,48,"TJS",199,3,1
"Dec 92",265,25,"TJS",199,3,1
"Dec 92",266,1,"TJS",199,3,1
"Dec 92",267,26,"TJS",47,1,1
"Dec 92",331,38,"TJS",47,1,1
"Dec 92",332,22,"TJS",47,1,1
"Dec 92",333,1,"TJS",36,1,1
"Dec 92",334,16,"TJS",36,1,1
"Dec 92",335,36,"TJS",36,1,1
"Dec 92",336,22,"TJS",36,1,1
"Dec 92",337,18,"TJS",36,1,1
"Dec 92",338,1,"TJS",36,1,1
"Dec 92",268,12,"TJS",22,0,1
"Dec 92",269,10,"TJS",22,0,1
"Dec 92",270,65,"TJS",22,0,1
"Dec 92",271,18,"TJS",22,0,1
"Dec 92",272,9,"TJS",10,0,1
"Dec 92",273,32,"TJS",10,0,1
"Dec 92",274,28,"TJS",10,0,1
"Dec 92",275,22,"TJS",10,0,1
"Dec 92",276,62,"TJS",10,0,1
"Dec 92",277,26,"TJS",10,0,1
"Dec 92",339,100,"TJS",0,0,1
"Dec 92",340,45,"TJS",0,0,1
"Dec 92",341,70,"TJS",0,0,1
"Dec 92",342,75,"TJS",0,0,1
"Dec 92",343,38,"TJS",0,0,1
"Dec 92",344,35,"TJS",-18,0,1
"Dec 92",345,38,"TJS",-18,0,1
"Dec 92",346,41,"TJS",-18,0,1
"Dec 92",347,45,"TJS",-18,0,1
"Apr 93",278,18,"TJS",28,0,1
"Apr 93",279,45,"TJS",28,0,1
"Apr 93",348,95,"TJS",28,0,1
"Apr 93",349,105,"TJS",28,0,1
"Apr 93",350,35,"TJS",28,0,1
"Apr 93",351,75,"TJS",28,0,1
"Apr 93",280,85,"TJS",44,1,1
"Apr 93",281,75,"TJS",44,1,1
"Apr 93",282,110,"TJS",44,1,1
"Apr 93",283,52,"TJS",44,1,1
"Apr 93",352,130,"TJS",53,1,1
"Apr 93",353,60,"TJS",53,1,1
"Apr 93",354,32,"TJS",53,1,1
"Apr 93",355,49,"TJS",53,1,1
"Apr 93",356,110,"TJS",53,1,1
"Apr 93",357,32,"TJS",63,1,1
"Apr 93",358,16,"TJS",63,1,1
"Apr 93",359,110,"TJS",63,1,1
"Apr 93",360,95,"TJS",63,1,1
"Apr 93",361,28,"TJS",63,1,1
"Apr 93",362,32,"TJS",63,1,1
"Apr 93",363,48,"TJS",63,1,1
"Apr 93",364,105,"TJS",73,1,1
"Apr 93",365,85,"TJS",73,1,1
"Apr 93",366,130,"TJS",73,1,1
"Apr 93",367,48,"TJS",73,1,1
"Apr 93",368,55,"TJS",73,1,1
"Apr 93",369,36,"TJS",73,1,1
"Apr 93",370,41,"TJS",73,1,1
"Apr 93",371,47,"TJS",86,1,1
"Apr 93",372,49,"TJS",86,1,1
"Apr 93",373,39,"TJS",86,1,1
"Apr 93",374,52,"TJS",86,1,1
"Apr 93",375,85,"TJS",86,1,1
"Apr 93",440,78,"TJS",86,1,1
"Apr 93",441,24,"TJS",86,1,1
"Apr 93",442,42,"TJS",86,1,1
"Apr 93",443,32,"TJS",98,2,1
"Apr 93",444,19,"TJS",98,2,1
"Apr 93",445,33,"TJS",98,2,1
"Apr 93",446,33,"TJS",98,2,1
"Apr 93",447,78,"TJS",98,2,1
"Apr 93",448,78,"TJS",98,2,1
"Apr 93",449,35,"TJS",98,2,1
"Apr 93",450,42,"TJS",98,2,1
"Apr 93",451,43,"TJS",98,2,1
"Apr 93",452,37,"TJS",98,2,1
"Apr 93",453,27,"TJS",98,2,1
"Apr 93",454,27,"TJS",98,2,1
"Apr 93",376,65,"TJS",108,2,1
"Apr 93",377,110,"TJS",108,2,1
"Apr 93",378,68,"TJS",108,2,1
"Apr 93",379,46,"TJS",108,2,1
"Apr 93",380,52,"TJS",108,2,1
"Apr 93",455,62,"TJS",117,2,1
"Apr 93",456,28,"TJS",117,2,1
"Apr 93",457,79,"TJS",117,2,1
"Apr 93",458,95,"TJS",117,2,1
"Apr 93",459,120,"TJS",117,2,1
"Apr 93",460,44,"TJS",117,2,1
"Apr 93",381,105,"TJS",127,2,1
"Apr 93",461,22,"TJS",127,2,1
"Apr 93",462,43,"TJS",127,2,1
"Apr 93",463,62,"TJS",127,2,1
"Apr 93",464,43,"TJS",127,2,1
"Apr 93",465,42,"TJS",127,2,1
"Apr 93",466,58,"TJS",127,2,1
"Apr 93",382,90,"TJS",140,2,1
"Apr 93",383,85,"TJS",140,2,1
"Apr 93",384,38,"TJS",140,2,1
"Apr 93",385,42,"TJS",140,2,1
"Apr 93",386,78,"TJS",140,2,1
"Apr 93",387,68,"TJS",140,2,1
"Apr 93",388,95,"TJS",140,2,1
"Apr 93",389,88,"TJS",213,4,1
"Apr 93",390,46,"TJS",213,4,1
"Apr 93",467,17,"TJS",213,4,1
"Apr 93",468,85,"TJS",213,4,1
"Apr 93",469,52,"TJS",213,4,1
"Apr 93",470,2,"TJS",213,4,1
"Apr 93",471,36,"TJS",213,4,1
"Apr 93",472,34,"TJS",299,5,1
"Apr 93",473,46,"TJS",299,5,1
"Apr 93",474,28,"TJS",299,5,1
"Apr 93",475,21,"TJS",299,5,1
"Apr 93",476,82,"TJS",299,5,1
"Apr 93",477,65,"TJS",299,5,1
"Apr 93",478,80,"TJS",299,5,1
"Apr 93",479,17,"TJS",299,5,1
"Apr 93",391,28,"TJS",289,5,1
"Apr 93",392,17,"TJS",289,5,1
"Apr 93",393,95,"TJS",289,5,1
"Apr 93",394,100,"TJS",289,5,1
"Apr 93",395,62,"TJS",289,5,1
"Apr 93",396,42,"TJS",270,4,1
"Apr 93",397,48,"TJS",270,4,1
"Apr 93",398,32,"TJS",270,4,1
"Apr 93",399,53,"TJS",270,4,1
"Apr 93",400,95,"TJS",270,4,1
"Apr 93",480,75,"TJS",259,4,1
"Apr 93",481,35,"TJS",259,4,1
"Apr 93",482,40,"TJS",259,4,1
"Apr 93",483,26,"TJS",259,4,1
"Apr 93",401,41,"TJS",247,4,1
"Apr 93",484,75,"TJS",247,4,1
"Apr 93",485,35,"TJS",247,4,1
"Apr 93",486,100,"TJS",247,4,1
"Apr 93",487,48,"TJS",247,4,1
"Apr 93",402,60,"TJS",235,4,1
"Apr 93",403,48,"TJS",235,4,1
"Apr 93",404,35,"TJS",235,4,1
"Apr 93",405,120,"TJS",235,4,1
"Apr 93",406,21,"TJS",235,4,1
"Apr 93",407,95,"TJS",235,4,1
"Apr 93",408,47,"TJS",235,4,1
"Apr 93",488,41,"TJS",223,4,1
"Apr 93",489,68,"TJS",223,4,1
"Apr 93",490,18,"TJS",223,4,1
"Apr 93",491,85,"TJS",223,4,1
"Apr 93",492,38,"TJS",223,4,1
"Apr 93",493,47,"TJS",223,4,1
"Apr 93",494,52,"TJS",223,4,1
"Apr 93",495,27,"TJS",223,4,1
"Apr 93",496,65,"TJS",212,4,1
"Apr 93",497,46,"TJS",212,4,1
"Apr 93",498,48,"TJS",212,4,1
"Apr 93",499,45,"TJS",212,4,1
"Apr 93",500,75,"TJS",212,4,1
"Apr 93",501,14,"TJS",212,4,1
"Apr 93",409,17,"TJS",199,3,1
"Apr 93",410,17,"TJS",199,3,1
"Apr 93",411,18,"TJS",199,3,1
"Apr 93",412,32,"TJS",199,3,1
"Apr 93",413,34,"TJS",199,3,1
"Apr 93",414,8,"TJS",199,3,1
"Apr 93",502,37,"TJS",189,3,1
"Apr 93",503,26,"TJS",189,3,1
"Apr 93",504,95,"TJS",189,3,1
"Apr 93",505,22,"TJS",189,3,1
"Apr 93",506,95,"TJS",189,3,1
"Apr 93",507,28,"TJS",189,3,1
"Apr 93",415,110,"TJS",178,3,1
"Apr 93",416,38,"TJS",178,3,1
"Apr 93",417,7,"TJS",178,3,1
"Apr 93",508,95,"TJS",178,3,1
"Apr 93",509,80,"TJS",178,3,1
"Apr 93",510,85,"TJS",178,3,1
"Apr 93",511,46,"TJS",178,3,1
"Apr 93",418,14,"TJS",167,3,1
"Apr 93",419,39,"TJS",167,3,1
"Apr 93",420,51,"TJS",167,3,1
"Apr 93",421,48,"TJS",167,3,1
"Apr 93",422,32,"TJS",167,3,1
"Apr 93",423,11,"TJS",167,3,1
"Apr 93",424,52,"TJS",167,3,1
"Apr 93",425,8,"TJS",167,3,1
"Apr 93",512,38,"TJS",236,4,1
"Apr 93",513,85,"TJS",236,4,1
"Apr 93",514,24,"TJS",236,4,1
"Apr 93",515,90,"TJS",236,4,1
"Apr 93",516,32,"TJS",236,4,1
